Date,Weekday,MealType,Paytm+Cash,Coupons,SemType,Holiday,MenuItem
2022-11-30,2,Dinner,114.0,319.0,False,False,
2022-12-01,3,BreakFast,47.0,54.0,False,False,
2022-12-01,3,Lunch,106.0,110.0,False,False,
2022-12-01,3,EveningSnacks,6.0,67.0,False,False,
2022-12-01,3,Dinner,43.0,91.0,False,False,
2022-12-02,4,BreakFast,36.0,80.0,False,False,
2022-12-02,4,Lunch,36.0,112.0,False,False,
2022-12-02,4,EveningSnacks,2.0,62.0,False,False,
2022-12-02,4,Dinner,32.0,170.0,False,False,
2022-12-03,5,BreakFast,9.0,82.0,False,False,
2022-12-03,5,Lunch,107.0,189.0,False,False,
2022-12-03,5,EveningSnacks,1.0,58.0,False,False,
2022-12-03,5,Dinner,21.0,133.0,False,False,
2022-12-04,6,BreakFast,16.0,83.0,False,False,
2022-12-04,6,Lunch,32.0,170.0,False,False,
2022-12-04,6,EveningSnacks,5.0,132.0,False,False,
2022-12-04,6,Dinner,48.0,241.0,False,False,
2022-12-05,0,BreakFast,18.0,114.0,False,False,
2022-12-05,0,Lunch,57.0,214.0,False,False,
2022-12-05,0,EveningSnacks,8.0,194.0,False,False,
2022-12-05,0,Dinner,26.0,239.0,False,False,
2022-12-06,1,BreakFast,21.0,151.0,False,False,
2022-12-06,1,Lunch,63.0,276.0,False,False,
2022-12-06,1,EveningSnacks,3.0,151.0,False,False,
2022-12-06,1,Dinner,17.0,209.0,False,False,
2022-12-07,2,BreakFast,19.0,153.0,False,False,
2022-12-07,2,Lunch,40.0,183.0,False,False,
2022-12-07,2,EveningSnacks,3.0,155.0,False,False,
2022-12-07,2,Dinner,66.0,346.0,False,False,
2022-12-08,3,BreakFast,13.0,178.0,False,False,
2022-12-08,3,Lunch,42.0,246.0,False,False,
2022-12-08,3,EveningSnacks,4.0,144.0,False,False,
2022-12-08,3,Dinner,15.0,236.0,False,False,
2022-12-09,4,BreakFast,40.0,135.0,False,False,
2022-12-09,4,Lunch,29.0,187.0,False,False,
2022-12-09,4,EveningSnacks,1.0,116.0,False,False,
2022-12-09,4,Dinner,17.0,290.0,False,False,
2022-12-10,5,BreakFast,5.0,139.0,False,False,
2022-12-10,5,Lunch,47.0,321.0,False,False,
2022-12-10,5,EveningSnacks,8.0,102.0,False,False,
2022-12-10,5,Dinner,17.0,168.0,False,False,
2022-12-11,6,BreakFast,11.0,120.0,False,False,
2022-12-11,6,Lunch,28.0,202.0,False,False,
2022-12-11,6,EveningSnacks,3.0,162.0,False,False,
2022-12-11,6,Dinner,49.0,325.0,False,False,
2022-12-12,0,BreakFast,8.0,154.0,False,False,
2022-12-12,0,Lunch,50.0,242.0,False,False,
2022-12-12,0,EveningSnacks,7.0,220.0,False,False,
2022-12-12,0,Dinner,16.0,252.0,False,False,
2022-12-13,1,BreakFast,11.0,173.0,False,False,
2022-12-13,1,Lunch,63.0,232.0,False,False,
2022-12-13,1,EveningSnacks,4.0,125.0,False,False,
2022-12-13,1,Dinner,17.0,189.0,False,False,
2022-12-14,2,BreakFast,23.0,160.0,False,False,
2022-12-14,2,Lunch,32.0,168.0,False,False,
2022-12-14,2,EveningSnacks,1.0,137.0,False,False,
2022-12-14,2,Dinner,45.0,322.0,False,False,
2022-12-15,3,BreakFast,12.0,161.0,False,False,
2022-12-15,3,Lunch,30.0,238.0,False,False,
2022-12-15,3,EveningSnacks,6.0,161.0,False,False,
2022-12-15,3,Dinner,20.0,187.0,False,False,
2022-12-16,4,BreakFast,13.0,133.0,False,False,
2022-12-16,4,Lunch,32.0,182.0,False,False,
2022-12-16,4,EveningSnacks,1.0,98.0,False,False,
2022-12-16,4,Dinner,24.0,278.0,False,False,
2022-12-17,5,BreakFast,7.0,,False,False,
2022-12-17,5,Lunch,61.0,314.0,False,False,
2022-12-17,5,EveningSnacks,6.0,121.0,False,False,
2022-12-17,5,Dinner,9.0,,False,False,
2022-12-18,6,BreakFast,7.0,153.0,False,False,
2022-12-18,6,Lunch,21.0,164.0,False,False,
2022-12-18,6,EveningSnacks,3.0,157.0,False,False,
2022-12-18,6,Dinner,38.0,251.0,False,False,
2022-12-19,0,BreakFast,8.0,139.0,False,False,
2022-12-19,0,Lunch,40.0,204.0,False,False,
2022-12-19,0,EveningSnacks,1.0,165.0,False,False,
2022-12-19,0,Dinner,9.0,160.0,False,False,
2022-12-20,1,BreakFast,9.0,133.0,False,False,
2022-12-20,1,Lunch,50.0,198.0,False,False,
2022-12-20,1,EveningSnacks,2.0,86.0,False,False,
2022-12-20,1,Dinner,17.0,110.0,False,False,
2022-12-21,2,BreakFast,11.0,110.0,False,False,
2022-12-21,2,Lunch,31.0,114.0,False,False,
2022-12-21,2,EveningSnacks,1.0,53.0,False,False,
2022-12-21,2,Dinner,26.0,177.0,False,False,
2022-12-22,3,BreakFast,13.0,108.0,False,False,
2022-12-22,3,Lunch,75.0,130.0,False,False,
2022-12-22,3,EveningSnacks,0.0,75.0,False,False,
2022-12-22,3,Dinner,5.0,75.0,False,False,
2022-12-23,4,BreakFast,9.0,86.0,False,False,
2022-12-23,4,Lunch,32.0,90.0,False,False,
2022-12-23,4,EveningSnacks,1.0,60.0,False,False,
2022-12-23,4,Dinner,12.0,101.0,False,False,
2022-12-24,5,BreakFast,12.0,52.0,False,False,
2022-12-24,5,Lunch,34.0,131.0,False,False,
2022-12-24,5,EveningSnacks,0.0,24.0,False,False,
2022-12-24,5,Dinner,7.0,45.0,False,False,
2022-12-25,6,BreakFast,,,False,False,
2022-12-25,6,Lunch,,,False,False,
2022-12-25,6,EveningSnacks,,,False,False,
2022-12-25,6,Dinner,,,False,False,
2022-12-26,0,BreakFast,,,False,False,
2022-12-26,0,Lunch,,,False,False,
2022-12-26,0,EveningSnacks,,,False,False,
2022-12-26,0,Dinner,,,False,False,
2022-12-27,1,BreakFast,,,False,False,
2022-12-27,1,Lunch,,,False,False,
2022-12-27,1,EveningSnacks,,,False,False,
2022-12-27,1,Dinner,,,False,False,
2022-12-28,2,BreakFast,,,False,False,
2022-12-28,2,Lunch,,,False,False,
2022-12-28,2,EveningSnacks,,,False,False,
2022-12-28,2,Dinner,,,False,False,
2023-01-01,6,BreakFast,0.0,0.0,False,False,
2023-01-01,6,Lunch,0.0,0.0,False,False,
2023-01-01,6,EveningSnacks,0.0,0.0,False,False,
2023-01-01,6,Dinner,0.0,0.0,False,False,
2023-01-02,0,BreakFast,0.0,0.0,False,False,
2023-01-02,0,Lunch,0.0,0.0,False,False,
2023-01-02,0,EveningSnacks,0.0,0.0,False,False,
2023-01-02,0,Dinner,14.0,10.0,False,False,
2023-01-03,1,BreakFast,11.0,12.0,False,False,
2023-01-03,1,Lunch,46.0,15.0,False,False,
2023-01-03,1,EveningSnacks,5.0,0.0,False,False,
2023-01-03,1,Dinner,14.0,12.0,False,False,
2023-01-04,2,BreakFast,17.0,0.0,False,False,
2023-01-04,2,Lunch,36.0,0.0,False,False,
2023-01-04,2,EveningSnacks,0.0,0.0,False,False,
2023-01-04,2,Dinner,17.0,21.0,False,False,
2023-01-05,3,BreakFast,14.0,15.0,False,False,
2023-01-05,3,Lunch,38.0,17.0,False,False,
2023-01-05,3,EveningSnacks,2.0,9.0,False,False,
2023-01-05,3,Dinner,16.0,16.0,False,False,
2023-01-06,4,BreakFast,16.0,12.0,False,False,
2023-01-06,4,Lunch,28.0,15.0,False,False,
2023-01-06,4,EveningSnacks,0.0,6.0,False,False,
2023-01-06,4,Dinner,11.0,21.0,False,False,
2023-01-07,5,BreakFast,10.0,0.0,False,False,
2023-01-07,5,Lunch,40.0,22.0,False,False,
2023-01-07,5,EveningSnacks,2.0,0.0,False,False,
2023-01-07,5,Dinner,9.0,15.0,False,False,
2023-01-08,6,BreakFast,7.0,0.0,False,False,
2023-01-08,6,Lunch,15.0,15.0,False,False,
2023-01-08,6,EveningSnacks,0.0,7.0,False,False,
2023-01-08,6,Dinner,24.0,27.0,False,False,
2023-01-09,0,BreakFast,10.0,14.0,False,False,
2023-01-09,0,Lunch,47.0,26.0,False,False,
2023-01-09,0,EveningSnacks,0.0,10.0,False,False,
2023-01-09,0,Dinner,23.0,21.0,False,False,
2023-01-10,1,BreakFast,11.0,15.0,False,False,
2023-01-10,1,Lunch,33.0,21.0,False,False,
2023-01-10,1,EveningSnacks,0.0,0.0,False,False,
2023-01-10,1,Dinner,10.0,0.0,False,False,
2023-01-11,2,BreakFast,15.0,19.0,False,False,
2023-01-11,2,Lunch,23.0,18.0,False,False,
2023-01-11,2,EveningSnacks,0.0,0.0,False,False,
2023-01-11,2,Dinner,34.0,39.0,False,False,
2023-01-12,3,BreakFast,4.0,16.0,False,False,
2023-01-12,3,Lunch,35.0,29.0,False,False,
2023-01-12,3,EveningSnacks,0.0,13.0,False,False,
2023-01-12,3,Dinner,13.8,27.0,False,False,
2023-01-13,4,BreakFast,16.0,21.0,False,False,
2023-01-13,4,Lunch,27.0,23.0,False,False,
2023-01-13,4,EveningSnacks,0.0,14.0,False,False,
2023-01-13,4,Dinner,29.0,30.0,False,False,
2023-01-14,5,BreakFast,5.0,13.0,False,False,
2023-01-14,5,Lunch,53.0,30.0,False,False,
2023-01-14,5,EveningSnacks,0.0,11.0,False,False,
2023-01-14,5,Dinner,10.8,24.0,False,False,
2023-01-15,6,BreakFast,12.0,17.0,False,False,
2023-01-15,6,Lunch,29.0,31.0,False,False,
2023-01-15,6,EveningSnacks,0.0,0.0,False,False,
2023-01-15,6,Dinner,72.0,38.0,False,False,
2023-01-16,0,BreakFast,49.0,35.0,False,False,
2023-01-16,0,Lunch,118.0,50.0,False,False,
2023-01-16,0,EveningSnacks,0.0,22.0,False,False,
2023-01-16,0,Dinner,95.0,47.0,False,False,
2023-01-17,1,BreakFast,70.0,34.0,False,False,
2023-01-17,1,Lunch,142.0,48.0,False,False,
2023-01-17,1,EveningSnacks,5.0,30.0,False,False,
2023-01-17,1,Dinner,76.0,31.0,False,False,
2023-01-18,2,BreakFast,44.0,38.0,False,False,
2023-01-18,2,Lunch,91.0,52.0,False,False,
2023-01-18,2,EveningSnacks,13.0,25.0,False,False,
2023-01-18,2,Dinner,131.0,56.0,False,False,
2023-01-19,3,BreakFast,58.0,32.0,False,False,
2023-01-19,3,Lunch,122.0,48.0,False,False,
2023-01-19,3,EveningSnacks,5.0,31.0,False,False,
2023-01-19,3,Dinner,58.0,33.0,False,False,
2023-01-20,4,BreakFast,36.0,39.0,False,False,
2023-01-20,4,Lunch,77.0,44.0,False,False,
2023-01-20,4,EveningSnacks,0.0,0.0,False,False,
2023-01-20,4,Dinner,3.0,38.0,False,False,
2023-01-21,5,BreakFast,30.0,16.0,False,False,
2023-01-21,5,Lunch,5.0,39.0,False,False,
2023-01-21,5,EveningSnacks,5.0,0.0,False,False,
2023-01-21,5,Dinner,26.0,28.0,False,False,
2023-01-22,6,BreakFast,14.0,21.0,False,False,
2023-01-22,6,Lunch,7.0,28.0,False,False,
2023-01-22,6,EveningSnacks,4.0,0.0,False,False,
2023-01-22,6,Dinner,2.0,45.0,False,False,
2023-01-23,0,BreakFast,38.0,29.0,False,False,
2023-01-23,0,Lunch,9.0,42.0,False,False,
2023-01-23,0,EveningSnacks,7.0,28.0,False,False,
2023-01-23,0,Dinner,73.0,47.0,False,False,
2023-01-24,1,BreakFast,56.0,31.0,False,False,
2023-01-24,1,Lunch,37.0,43.0,False,False,
2023-01-24,1,EveningSnacks,12.0,0.0,False,False,
2023-01-24,1,Dinner,41.0,24.0,False,False,
2023-01-25,2,BreakFast,41.0,34.0,False,False,
2023-01-25,2,Lunch,80.0,43.0,False,False,
2023-01-25,2,EveningSnacks,2.0,0.0,False,False,
2023-01-25,2,Dinner,125.0,54.0,False,False,
2023-01-26,3,BreakFast,22.0,27.0,False,False,
2023-01-26,3,Lunch,157.0,47.0,False,False,
2023-01-26,3,EveningSnacks,0.0,0.0,False,False,
2023-01-26,3,Dinner,44.0,34.0,False,False,
2023-01-27,4,BreakFast,35.0,25.0,False,False,
2023-01-27,4,Lunch,62.0,20.0,False,False,
2023-01-27,4,EveningSnacks,4.0,0.0,False,False,
2023-01-27,4,Dinner,35.0,0.0,False,False,
2023-01-28,5,BreakFast,55.0,28.0,False,False,
2023-01-28,5,Lunch,115.0,36.0,False,False,
2023-01-28,5,EveningSnacks,14.0,0.0,False,False,
2023-01-28,5,Dinner,43.0,9.0,False,False,
2023-01-29,6,BreakFast,26.0,33.0,False,False,
2023-01-29,6,Lunch,70.0,37.0,False,False,
2023-01-29,6,EveningSnacks,8.0,0.0,False,False,
2023-01-29,6,Dinner,153.0,53.0,False,False,
2023-01-30,0,BreakFast,39.0,31.0,False,False,
2023-01-30,0,Lunch,133.0,34.0,False,False,
2023-01-30,0,EveningSnacks,8.0,32.0,False,False,
2023-01-30,0,Dinner,130.0,42.0,False,False,
2023-01-31,1,BreakFast,52.0,36.0,False,False,
2023-01-31,1,Lunch,144.0,43.0,False,False,
2023-01-31,1,EveningSnacks,8.0,42.0,False,False,
2023-01-31,1,Dinner,53.0,26.0,False,False,
2023-02-01,2,BreakFast,40.0,44.0,False,False,
2023-02-01,2,Lunch,74.0,90.0,False,False,
2023-02-01,2,EveningSnacks,8.0,50.0,False,False,
2023-02-01,2,Dinner,188.0,158.0,False,False,
2023-02-02,3,BreakFast,35.0,93.0,False,False,
2023-02-02,3,Lunch,82.0,169.0,False,False,
2023-02-02,3,EveningSnacks,0.0,65.0,False,False,
2023-02-02,3,Dinner,32.0,154.0,False,False,
2023-02-03,4,BreakFast,22.0,114.0,False,False,
2023-02-03,4,Lunch,53.0,177.0,False,False,
2023-02-03,4,EveningSnacks,6.0,56.0,False,False,
2023-02-03,4,Dinner,30.0,162.0,False,False,
2023-02-04,5,BreakFast,9.0,92.0,False,False,
2023-02-04,5,Lunch,58.0,182.0,False,False,
2023-02-04,5,EveningSnacks,2.0,66.0,False,False,
2023-02-04,5,Dinner,15.0,100.0,False,False,
2023-02-05,6,BreakFast,5.0,74.0,False,False,
2023-02-05,6,Lunch,17.0,115.0,False,False,
2023-02-05,6,EveningSnacks,0.0,58.0,False,False,
2023-02-05,6,Dinner,49.0,185.0,False,False,
2023-02-06,0,BreakFast,15.0,125.0,False,False,
2023-02-06,0,Lunch,54.0,211.0,False,False,
